scenario,distance,baseline_speed_mean,baseline_speed_std,baseline_speed_p5,baseline_speed_p95,baseline_time_mean,baseline_time_std,baseline_time_p5,baseline_time_p95,baseline_co2_mean,baseline_co2_std,baseline_co2_p5,baseline_co2_p95,baseline_energy_mean,baseline_energy_std,baseline_energy_p5,baseline_energy_p95,hl_speed_mean,hl_speed_std,hl_speed_p5,hl_speed_p95,hl_time_mean,hl_time_std,hl_time_p5,hl_time_p95,hl_co2_mean,hl_co2_std,hl_co2_p5,hl_co2_p95,hl_energy_mean,hl_energy_std,hl_energy_p5,hl_energy_p95
S1,6000,83.38,10.9,66.71,102.36,75.0,1.87,71.95,78.1,135.0,5.68,125.75,144.35,750.02,56.35,657.06,843.51,716.6,55.18,632.67,813.33,6.5,0.19,6.19,6.81,35.01,1.89,31.91,38.12,339.81,21.26,309.15,378.67
S2,2245,100.01,7.54,87.59,112.31,28.16,1.31,26.06,30.37,224.99,13.29,203.15,246.96,418.34,13.23,396.03,439.35,428.34,16.99,399.66,455.16,3.0,0.19,2.69,3.31,118.15,9.44,101.96,133.05,375.23,17.01,347.04,402.97
S3,1500,93.33,7.16,83.07,106.23,16.5,0.19,16.19,16.81,39.97,1.9,36.87,43.07,347.55,10.35,330.56,364.49,349.09,10.36,331.62,365.72,1.6,0.08,1.48,1.72,3.0,0.38,2.38,3.62,120.07,4.54,112.61,127.47
S4,1200,109.94,3.76,103.75,116.18,12.0,0.38,11.37,12.63,33.97,2.27,30.23,37.71,421.64,17.0,394.23,450.36,421.7,16.97,394.65,450.12,1.32,0.06,1.23,1.41,4.0,0.38,3.38,4.62,95.98,4.55,88.44,103.38
S5,1180,95.02,5.68,85.59,104.3,13.0,0.38,12.38,13.62,34.01,1.5,31.54,36.47,419.98,11.24,401.53,438.4,419.89,11.35,401.33,438.75,3.02,0.09,2.87,3.18,2.1,0.04,2.04,2.16,95.94,4.55,88.45,103.45
S6,1100,115.0,1.87,111.91,118.08,10.0,0.38,9.38,10.62,30.03,1.89,26.9,33.16,418.54,13.12,396.07,439.46,411.89,13.24,391.04,434.21,1.3,0.07,1.18,1.42,3.01,0.38,2.37,3.63,83.98,4.55,76.59,91.38
S7,1000,84.99,5.64,75.66,94.33,11.5,0.57,10.55,12.43,28.16,1.32,26.07,30.43,420.22,11.41,401.41,438.74,420.09,11.43,401.47,438.87,1.18,0.05,1.09,1.27,2.5,0.19,2.19,2.81,82.0,4.48,75.02,89.69
S8,900,114.99,1.88,111.92,118.1,8.5,0.19,8.19,8.81,20.0,0.76,18.75,21.25,419.92,11.3,401.21,438.64,419.83,11.42,401.18,438.53,1.2,0.08,1.07,1.32,2.5,0.19,2.19,2.81,72.02,4.54,64.54,79.48
S9,800,93.31,7.13,83.11,106.13,10.5,0.19,10.19,10.81,22.49,0.95,20.96,24.05,399.82,7.54,387.35,412.31,400.11,7.54,387.85,412.5,1.0,0.08,0.87,1.12,2.0,0.38,1.37,2.62,66.03,2.25,62.32,69.69
S10,750,91.66,5.52,83.21,101.34,9.01,0.38,8.39,9.63,22.15,1.7,19.42,25.03,400.06,7.54,387.72,412.4,400.01,7.56,387.49,412.44,0.9,0.04,0.84,0.96,2.0,0.38,1.39,2.63,54.0,2.29,50.26,57.73
S11,600,110.04,3.78,103.8,116.23,6.0,0.38,5.38,6.62,16.01,0.75,14.77,17.24,400.03,7.64,387.38,412.63,400.12,7.57,387.68,412.57,0.77,0.1,0.63,0.96,2.0,0.38,1.38,2.61,48.01,2.25,44.29,51.73
S12,500,89.94,3.78,83.73,96.19,6.0,0.38,5.37,6.62,13.49,0.57,12.56,14.43,400.05,7.5,387.76,412.4,400.03,7.62,387.47,412.39,0.95,0.13,0.73,1.14,2.0,0.38,1.38,2.62,41.99,2.27,38.24,45.75
